"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"1578","EMC-BAC-2","","","","","","","","EMC-BAC-2","","EMC-BAC-2","",NA,"","","","","","","","Esophagus","","","","","esophagus",NA
"1579","LNZTA3WT4","","","","","","","","LNZTA3WT4","","LNZTA3WT4","",NA,"","","","","","","","Brain","","","","central_nervous_system","central_nervous_system",NA
"1580","T-T","","","","","","","","T-T","","T-T","",NA,"","","","","","","","Esophagus","","","","","esophagus",NA
"1581","SW156","","","","","","","","SW156","","","",NA,"","","","","","","","Kidney","","","","kidney","kidney",NA
"1582","OV-17R","","","","","","","","OV-17R","","OV-17R","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1583","OSC-20","","","","","","","","OSC-20","","OSC-20","",NA,"","","","","","","","Head & Neck","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1584","Mo","","","","","","","","Mo","","","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1585","WIL2-NS","","","","","","","","WIL2-NS","","WIL2-NS","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1586","PCI-30","","","","","","","","PCI-30","","PCI-30","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1587","P32-ISH","","","","","","","","P32-ISH","","P32-ISH","",NA,"","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1588","SISO","","","","","","","","SISO","","","",NA,"","","","","","","","Cervix","","","","endometrium","endometrium",NA
"1589","H3255","","","","","","","","H3255","","H3255","",NA,"","","","","","","","Lung","","","","lung","lung",NA
"1590","G-MEL","","","","","","","","G-MEL","","G-MEL","",NA,"","","","","","","","Skin","","","","","skin",NA
"1591","ESO51","","","","","","","","ESO51","","ESO51","",NA,"","","","","","","","Esophag","","","","oesophagus","oesophagus",NA
"1592","RCC-MF","","","","","","","","RCC-MF","","RCC-MF","",NA,"","","","","","","","Kidney","","","","kidney","kidney",NA
"1593","SAT","","","","","","","","SAT","","SAT","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1594","SKN-3","","","","","","","","SKN-3","","SKN-3","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1595","COR-L303","","","","","","","","COR-L303","","COR-L303","",NA,"","","","","","","","Lung","","","","","lung",NA
"1596","H2591","","","","","","","","H2591","","H2591","",NA,"","","","","","","","Lung","","","","","lung",NA
"1597","HSC-39","","","","","","","","HSC-39","","HSC-39","",NA,"","","","","","","","Stomach","","","","stomach","stomach",NA
"1598","H513","","","","","","","","H513","","H513","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1599","PCI-15A","","","","","","","","PCI-15A","","PCI-15A","",NA,"","","","","","","","Head & Neck","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1600","JHOS-3","","","","","","","","JHOS-3","","JHOS-3","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1601","H2461","","","","","","","","H2461","","H2461","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1602","EMC-BAC-1","","","","","","","","EMC-BAC-1","","EMC-BAC-1","",NA,"","","","","","","","Esophagus","","","","","esophagus",NA
"1603","NCI-H1688","","","","","","","","NCI-H1688","","NCI-H1688","",NA,"","","","","","","","Lung","","","","lung","lung",NA
"1604","IOSE-397","","","","","","","","IOSE-397","","","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1605","NCCIT","","","","","","","","NCCIT","","NCCIT","",NA,"","","","","","","","testis","","","","testis","testis",NA
"1606","IHH-4","","","","","","","","IHH-4","","IHH-4","",NA,"","","","","","","","Thyroid","","","","thyroid","thyroid",NA
"1607","HCE-7","","","","","","","","HCE-7","","","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1608","H3118","","","","","","","","H3118","","H3118","",NA,"","","","","","","","Head & Neck","","","","salivary_gland","salivary_gland",NA
"1609","UE6E7T-3","","","","","","","","UE6E7T-3","","","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1610","H2795","","","","","","","","H2795","","H2795","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1611","JHU-011","","","","","","","","JHU-011","","JHU-011","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1612","H2369","","","","","","","","H2369","","H2369","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1613","SBC-3","","","","","","","","SBC-3","","SBC-3","",NA,"","","","","","","","Lung","","","","lung","lung",NA
"1614","H2595","","","","","","","","H2595","","H2595","",NA,"","","","","","","","Lung","","","","","lung",NA
"1615","NCI-H835","","","","","","","","NCI-H835","","NCI-H835","",NA,"","","","","","","","Lung","","","","lung","lung",NA
"1616","KYSE-50","","","","","","","","KYSE-50","","KYSE-50","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1617","PCI-38","","","","","","","","PCI-38","","PCI-38","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1618","RCC-ER","","","","","","","","RCC-ER","","RCC-ER","",NA,"","","","","","","","Kidney","","","","kidney","kidney",NA
"1619","ESO26","","","","","","","","ESO26","","ESO26","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1620","COLO-320","","","","","","","","COLO-320","","","",NA,"","","","","","","","Intestine","","","","large_intestine","large_intestine",NA
"1621","SK-GT-4","","","","","","","","SK-GT-4","","SK-GT-4","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1622","H2804","","","","","","","","H2804","","H2804","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1623","JHU-022","","","","","","","","JHU-022","","JHU-022","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1624","RWPE2-W99","","","","","","","","RWPE2-W99","","","",NA,"","","","","","","","Prostate","","","","","prostate",NA
"1625","I-9-2","","","","","","","","I-9-2","","","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1626","RCC-JF","","","","","","","","RCC-JF","","RCC-JF","",NA,"","","","","","","","kidney","","","","kidney","kidney",NA
"1627","KYSE-220","","","","","","","","KYSE-220","","KYSE-220","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1628","HO-1-u-1","","","","","","","","HO-1-u-1","","HO-1-u-1","",NA,"","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1629","M00921","","","","","","","","M00921","","","",NA,"","","","","","","","Skin","","","","","skin",NA
"1630","TASK1","","","","","","","","TASK1","","","",NA,"","","","","","","","other","","","","","other",NA
"1631","CHSA0108","","","","","","","","CHSA0108","","CHSA0108","",NA,"","","","","","","","bone","","","","","bone",NA
"1632","SCC90","","","","","","","","SCC90","","SCC90","",NA,"","","","","","","","upper_aerodigestive_tract","","","","","upper_aerodigestive_tract",NA
"1633","K2","","","","","","","","K2","","K2","",NA,"","","","","","","","skin","","","","thyroid","thyroid",NA
"1634","NCC010","","","","","","","","NCC010","","NCC010","",NA,"","","","","","","","Kidney","","","","","kidney",NA
"1635","Hs-445","","","","","","","","Hs-445","","Hs-445","",NA,"","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue",NA
"1636","FLO-1","","","","","","","","FLO-1","","FLO-1","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1637","JHU-028","","","","","","","","JHU-028","","","",NA,"","","","","","","","upper_aerodigestive_tract","","","","","upper_aerodigestive_tract",NA
"1638","LC-1-sq","","","","","","","","LC-1-sq","","LC-1-sq","",NA,"","","","","","","","lung","","","","lung","lung",NA
"1639","M980513","","","","","","","","M980513","","","",NA,"","","","","","","","Skin","","","","","skin",NA
"1640","JHU-029","","","","","","","","JHU-029","","JHU-029","",NA,"","","","","","","","upper_aerodigestive_tract","","","","","upper_aerodigestive_tract",NA
"1641","JURKAT","","","","","","","","JURKAT","","","","JURKAT","","","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"1642","MET-2B","","","","","","","","MET-2B","","","",NA,"","","","","","","","Skin","","","","","skin",NA
"1643","SKN","","","","","","","","SKN","","SKN","",NA,"","","","","","","","Uterus","","","","soft_tissue","soft_tissue",NA
"1644","Ishikawa","","","","","","","","Ishikawa","","","",NA,"","","","","","","","Uterus","","","","endometrium","endometrium",NA
"1645","DIFI","","","","","","","","DIFI","","DIFI","",NA,"","","","","","","","Intestine","","","","large_intestine","large_intestine",NA
"1646","STS-0421","","","","","","","","STS-0421","","STS-0421","",NA,"","","","","","","","soft_tissue","","","","","soft_tissue",NA
"1647","MOLT-3","","","","","","","","","MOLT-3","","","MOLT3","","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",""
"1648","CRO-AP3","","","","","","","","","","CRO-AP3","",NA,"","","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"1649","Geo","","","","","","","","","","Geo","",NA,"","","","","","","","","","","","large_intestine","large_intestine",NA
"1650","KMH-2","","","","","","","","","","KMH-2","",NA,"","","","","","","","","","","","thyroid","thyroid",NA
"1651","MCC13","","","","","","","","","","MCC13","",NA,"","","","","","","","","","","","skin","skin",NA
"1652","MCC26","","","","","","","","","","MCC26","",NA,"","","","","","","","","","","","skin","skin",NA
"1653","MY-M12","","","","","","","","","","MY-M12","",NA,"","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1654","NTERA-2_cl.D1","","","","","","","","","","NTERA-2_cl.D1","",NA,"","","","","","","","","","","","","testis",NA
"1655","OVCA433","","","","","","","","","","OVCA433","",NA,"","","","","","","","","","","","ovary","ovary",NA
"1656","PC-3_JPC-3","","","","","","","","","","PC-3_JPC-3","",NA,"","","","","","","","","","","","","lung",NA
"1657","PL4","","","","","","","","","","PL4","",NA,"","","","","","","","","","","","","pancreas",NA
"1658","Sarc9371","","","","","","","","","","Sarc9371","",NA,"","","","","","","","","","","","","bone",NA
"1659","TMK-1","","","","","","","","","","TMK-1","",NA,"","","","","","","","","","","","stomach","stomach",NA
"1660","U-CH2","","","","","","","","","","U-CH2","",NA,"","","","","","","","","","","","","placenta",NA
"1661","UDSCC2","","","","","","","","","","UDSCC2","",NA,"","","","","","","","","","","","","upper_aerodigestive_tract",NA
"1662","WM793B","","","","","","","","","","WM793B","",NA,"","","","","","","","","","","","","skin",NA
"1663","AU655","","","","","","","","","","","au655",NA,"","","","","","","","","","","breast","","breast",NA
"1664","HCC812","","","","","","","","","","","hcc812",NA,"","","","","","","","","","","breast","","breast",NA
"1665","MA-CLS-2","","","","","","","","","","","macls2",NA,"","","","","","","","","","","breast","","breast",NA
"1666","SK-BR-5","","","","","","","","","","","skbr5",NA,"","","","","","","","","","","breast","breast","breast",NA
"1667","SK-BR-7","","","","","","","","","","","skbr7",NA,"","","","","","","","","","","breast","breast","breast",NA
"1668","UACC-3199","","","","","","","","","","","uacc3199",NA,"","","","","","","","","","","breast","","breast",NA
"1669","SUM 190","","","","","","","","","","","sum190",NA,"","","","","","","","","","","breast","","breast",NA
"1670","HCC712","","","","","","","","","","","hcc712",NA,"","","","","","","","","","","breast","","breast",NA
"1671","TTTHYROID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTTHYROID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thyroid","thyroid"
"1672","KNS81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KNS81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"central_nervous_system","central_nervous_system"
"1673","BT145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1674","BT179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1675","BT112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1676","BT164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1677","BT224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1678","HSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1679","KRIJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KRIJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1680","PSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1681","U-CH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U-CH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1682","HS888LU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS888LU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1683","U251MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U251MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"central_nervous_system","central_nervous_system"
"1684","BT139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1685","BT159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1686","BT187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1687","BT228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1688","BT231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1689","BT239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1690","HS578BST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS578BST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1691","BT248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1692","BT131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1693","BT147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1694","BT172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1695","BT216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1696","BT232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1697","BT245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1698","BT271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1699","BT286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1700","BT320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1701","BT328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1702","BT330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1703","BT333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1704","BT340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1705","BT359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1706","BT416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1707","BT422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1708","BT428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1709","BT440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1710","BT444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1711","BT482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1712","BT498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
